_id,description,name,main_concrete_type,main_concrete_type_uncertainty,receiver_location_coordinates,receiver_location_country,receiver_location_city,distance_km,precs_start_date_year,component_age_at_start_date,quantity_reclaimed_ton,source_nb_floor,source_use,source_element_type,receiver_nb_floor,receiver_use_type,receiver_element_type,design_solution_status,reference,impact_design_alternative,impact_difference,impact_source,cost_design_alternative,cost_difference_min_percent,cost_difference_max_percent,cost_source
1,Reuse of floor slabs from a 6-story reinforced-concrete skeleton building for floor stabilization in a new plant,Leipzig plant,PC,1,"51.340199,12.360103",Germany,Leipzig,,1967,37,,6,,slab,1,industry,floor stabilization?,Built,Mettke (1995),,,,,,,
2,Reuse of panels of the Ingebäck PC system from a lowered mass-housing building for facade and slabs in a new 7-story housing building,Gothenburg 7-story building,PC,0,"57.708870,11.974560",Germany,Gothenburg,16,1984,16,,,,,>4,housing,,Built,"Fischer et al., 2012; Gieselmann, 1991; Huuhka et al., 2019; Irion and Sieverts, 1984; Künzel, 2005; Mühlestein, 1987",,,,,,,
3,Reuse of panels of the Ingebäck PC system from a lowered mass-housing building for facade and slabs in new low-rise houses,Gotehnburg row houses,PC,0,"57.77051,12.2690400",Sweden,Lerum/Kungälv/ Backatorp,19,1984,16,,,,,2-3,housing,,Built,"Fischer et al., 2012; Gieselmann, 1991; Huuhka et al., 2019; Irion and Sieverts, 1984; Mühlestein, 1987; Nagora, 2002",,,,,,,
4,Reuse of wall panels from a gym hall to reinforce the ground of a construction-material storage facility,Cottbus storage facility,PC,0,"51.756745,14.335731",Germany,Cottbus,10,1985,7,,,,,1,industry,,Built,Mettke (1995),,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,,,,,,,,,,,,,,,,,,,,,
