key,Filtres,List View,english,french
_id,,,Case-study number,Numéro de l'étude de cas
description,,non,Case-study description,Description de l'étude de cas
name,,oui,Receiving-project name,Nom du projet receveur
main_concrete_type,oui,oui,Main concrete type,Type de béton
main_concrete_type_uncertainty,,main_concrete_type in itlaic if 1,Main concrete type_uncertainty,Type de béton_incertitude
receiver_country,oui,oui,Receiving-project country,Pays du projet receveur
receiver_city,,oui,Receiving-project city,Ville du projet receveur
distance_km,range,oui,Distance from donor building (approx.) [km] ,Distance par rapport au bâtiment donneur (approx.) [km] 
start_date_year,range,oui,Date of receiving project construction start,Date de début de la construction du projet receveur
component_age,range,oui,Component age at receiving project construction start (approx.),àge des éléments au début de la construction du projet receveur (environ)
quantity_reclaimed,,oui,Quantity of reclaimed components,Quantité d'éléments réemployés
quantity_reclaimed_unit,,concatenate with quantity_reclaimed,Units for quantity of reclaimed components,Unités pour la quantité d'éléments réemployés
donor_nb_floor,range,,Number of floors in donor building,Nombre d'étages dans le bâtiment donneur
donor_use,oui,,Use of donor building,Utilisation du bâtiment donneur
donor_element_type,oui,oui,Component type or use in donor building,Type d'éléments ou utilisation dans le bâtiment donneur
receiver_nb_floor,range,,Number of floors in receiving project,Nombre d'étages dans le projet receveur
receiver_use,oui,oui,Use of receiving project,Utilisation du projet receveur
receiver_element_type,oui,oui,Component type or use in receiving project,Type d'éléments ou utilisation dans le projet receveur
reference,,oui,Reference,Référence
impact_design_alternative,,,Compared design alternative for environmental impact calculations,Alternative pour les calculs d'impact environnemental
impact_difference,with/without,,Environment-impact difference,Différence d'impact sur l'environnement
impact_unit,,,Units for environmental impacts calculations,Unités pour les calculs d'impact environnemental
impact_source,,,Reference for environmental impacts calculations,Référence pour le calcul d'impact environnemental
cost_design_alternative,,,Compared design alternative for cost calculations,Alternative de conception comparée pour les calculs de coûts
cost_difference_min_percent,with/without,,Minimal cost difference [%],Différence de coût minimale [%]
cost_difference_max_percent,,,Maximal cost difference [%],Différence de coût maximale [%]
cost_source,,,Reference for cost calculations,"Référence pour le calcul des coûts
"
