key,text,url
Addis 2006,"Addis, B., 2006. Building with Reclaimed Components and Materials: A Design Handbook for Reuse and Recycling. Earthscan.",
ale_archifre 2020,"ale_archifre, 2020. “Platform Plate” floor prototype (original title in Dutch: “Perron Plaat” floor prototype). Instagram.",https://www.instagram.com/p/CD9zLBhIW5B/
Arc2 architecten 2021,"Arc2 architecten, 2021. ReUseBrug Floriade Almere.",https://www.arc2.nl/projecten/infra/voet-fietsbrug/reusebrug-floriade-2022-almere/
ArchDaily 2009,"ArchDaily, 2009. Big Dig House/Single Speed Design. ArchDaily.", http://www.archdaily.com/24396/big-dig-house-single-speed-design/
Asam et al. 2005,"Asam, C., Biele, H., Junne, P., 2005. CONCLUS information from the factory on the designs of the pilot projects (original title in German: CONCLUS Werkinformationen zu den Entwürfen der Pilotprojekte). TU Berlin.",
Asam 2007a,"Asam, C., 2007a. Recycling prefabricated concrete components–a contribution to sustainable construction. IEMB Info 3.",
Asam 2007b,"Asam, C., 2007b. Reuse Possibilities of Dismantled Building Elements from Pre-fabricated Concrete Buildings, in: COST C16 Improving the Quality of Existing Urban Building Envelopes. IOS Press, 195–202.",
bauburoinsitu 2022,"bauburoinsitu, 2022. We are installing 16* ReUsed concrete foundations for 16 new wooden columns in the A Building of the SBB workshopsite in Zurich (original title in German: Wir verbauen 16* ReUse Betonfundamente für 16 neue Holzstützen im Gebäude A auf dem SBB Werkstatt Areal in Zürich). Instagram.",https://www.instagram.com/p/Cb7vrpWjtv5/?utm_medium=share_sheet
Bellastock and CSTB 2018,"Bellastock, CSTB, 2018. REPAR #2: Reuse as a bridge between architecture and industry (original title in French : REPAR #2: Le réemploi passerelle entre architecture et industrie). ADEME.",
Bellastock 2021,"Bellastock, 2021. Interreg FCRBE REUSE TOOLKIT - Voile en béton.",
Borges 2022,"Borges, T., 2022. The Traverse Pavilion (interview).",
Bremen Bouwadviseurs 2018,"Bremen Bouwadviseurs, 2018. Superlocal Evalution, phase 1_Exhibition building (original title in Dutch : Evalutie Superlocal, fase 1_Expo-gebouw).",
Castaros 2018,"Castaros, C., 2018. In Stains, a construction site like no other (original title in French : A Stains, un chantier pas comme les autres) Tracés 6–9.",
Chantereau 2017,"Chantereau, P., 2017. Reuse Conference: Material Construction Architecture Bellastock CAUE 63 2017 (Original title in French : Conférence Réemploi: Matière Construction Architecture Bellastock CAUE 63 2017).",https://www.youtube.com/watch?v=oHbr44zXrVk.
Coenen et al. 1990,"Coenen, M., Lentz, G., Prak, N., 1990. The Head is Down: Evaluation of the “capping” of a flat in Middelburg (original title in Dutch: De Kop is Eraf: Evalutie van de aftopping van een flat in Middelburg). Delft University Press.",
Comment 2021,"Comment, A., 2021. Concrete in transition (original title in French: Béton en mutation). Tracés 3512, 48–49.",
De Graaf 2018,"De Graaf, R., 2018. Four Walls and a Roof. Harvard University Press.",
Dechantsreiter et al. 2015,"Dechantsreiter, U., Horst, P., Mettke, A., Asmus, S., Schmidt, S., Knappe, F., Reinhardt, J., Theis, S., Lau, J.J., 2015. Instruments for the reuse of structural components and high-quality utilization of building materials (original title in German: Instrumente zur Wiederverwendung von Bauteilen und hochwertigen Verwertung von Baustoffen). Umweltbundesamt.",
Demierre 2022,"Demierre, K., 2022. Construction of point foundations made of reused concrete blocks in Zürich for SBB Real Estate in collaboration with BWT Bau AG and Flückiger + Bosshard AG (interview).",
Devènes et al. 2022,"Devènes, J., Brütting, J., Küpfer, C., Bastien-Masse, M., Fivet, C., 2022. Re:Crete – Reuse of concrete blocks from cast-in-place building to arch footbridge. Structures 43, 1854–1867.",https://doi.org/10.1016/j.istruc.2022.07.012
EAST/EPFL 2019,"EAST/EPFL, 2019. Research study: Traverse Pavilion - Laboratory EAST. Instagram.",https://www.instagram.com/traversepavilion/
Eklund et al. 2003,"Eklund, M., Dahlgren, S., Dagersten, A., Sundbaum, G., 2003. The conditions and constraints for using reused materials in building projects. In: Chini, R. (Ed), Deconstruction and Materials Reuse, CIB Publication 287, 248–259.",
Fischer et al. 2012,"Fischer, A., Huber, R.K., Asa, C., Winter, P., 2012. Plate association in Berlin 2010/2011, Final report (original title in German: Plattenvereinigung Berlin 2010/2011 Abschlussbericht). Deutsche Bundesstiftung Umwelt.",
Gieselmann 1991,"Gieselmann, R., 1991. Metamorphoses of precast buildings (original title in German: Metamorphosen des Fertigteilbaues).  DBZ 1, 77–80.",
Glias 2013,"Glias, A., 2013. The “Donor Skelet”, Designing with reused structural concrete elements (Master thesis). TU Delft.",
Gorgolewski 2017,"Gorgolewski, M., 2017. Resource Salvation: The Architecture of Reuse. Wiley-Blackwell.",
Hagan and Kontukoski 2009,"Hagan, H., 2013. Koy Raahe Kummatti - partial demolition of buildings and reuse of precast concrete elements (original title in Finnish: Koy Raahen Kummatti – rakennusten osapurku ja betonielementtien uudelleenkäyttö). Raken. Kal. 97, 113–116.",
Hagan 2013,"Hagan, H., Kontukoski, P., 2009. Raahe Kummatti - Dismantle and build a project in a 1970s suburb (original title in Finnish: Raahen Kummatti - Pura ja rakenna projekti 1970-luvun lähiössä). Raken. 2009 Uusimmat Tutkimustulokset Ja Hyvät Käytännön Ratk. 27-29102009 Tamp. Tampereen Tek. Yliop. Raken. Laitos Raken. Semin., 403–414.",
Heyn et al. 2008,"Heyn, S., Mettke, A., Thomas, C., 2008. Final report on the research project ""Dismantling of industrial buildings - Large-scale concrete elements in the ecological closed loop"" (original title in German: Schlussbericht zum Forschungsvorhaben ""Rückbau industrieller Bausubstanz – Großformatige Betonelemente im ökologischen Kreislauf""). BTU Cottbus.",
Hof van Cartesius 2021,"Hof van Cartesius, 2021. The Courtyard of Cartesius, Episode 1 Foundation and Floor (original title in Dutch: Het Hof van Cartesius, Aflevering 1 Fundering en Vloer).",https://www.youtube.com/watch?v=xXJJmNc-P9g
Hopkinson et al. 2018,"Hopkinson, P., Chen, H.-M., Zhou, K., Wang, Y., Lam, D., 2018. Recovery and reuse of structural products from end-of-life buildings. In: Proceedings of the Institution of Civil Engineers-Engineering Sustainability. Thomas Telford Ltd, 119–128. https://doi.org/10.1680/jensu.18.00007",
Huber 2013,"Huber, R.K., 2013. A Concrete Performance – Heritage and Leftovers, in: TALLINN ARCHITECTURE BIENNALE 2013: Recycling Socialism. TAB 2013 Catalogue. Tallinn, 43–48.",
Huber 2008,"Huber, R.K., 2008. BESTANDSVERPFLANZUNG wird (AT) - transplantation of existing fabric to be (wt). zukunftsgeraeusche.",
Huuhka et al. 2019,"Huuhka, S., Naber, N., Asam, C., Caldenby, C., 2019. Architectural Potential of Deconstruction and Reuse in Declining Mass Housing Estates. NJAR 31.",
IAB Weimar 2005,"IAB Weimar, 2005. Recycling plate: construction of the new Mellingen mourning hall (original title in German: Recycling Platte: Neubau Trauerhalle Mellingen). IAB Weimar GGmbH.",https://www.iab-weimar.de/recycling-platte-neubau-trauerhalle-mellingen/
Irion and Sieverts 1984,"Irion, I., Sieverts, T., 1984. Gothenburg-Lövgärdet: The short life cycle of a new urban district (original title in German: Göteborg-Lövgärdet: Der kurze Lebenszyklus eines neuen Stadtteils). Bauwelt Stadtbauwelt 82, 178–182.",
Janorschke et al. 2010,"Janorschke, B., Palzer, U., Rebel, B., 2010. Demolition and dismantling of prefabricated residential buildings, risk focus - occupational health and safety measures (original title in German: Abbruch und Rückbau von Fertigteilwohngebäuden, Gefährdungsschwerpunkte – Arbeitsschutzmaßnahmen). Bundesanstalt für Arbeitsschutz und Arbeitsmedizin (BAuA).",
Kil 2007,"Kil, W., 2007. Wohnung+ in Leinefelde – A single-family house made of reclaimed panels (original title in German: Wohnung+ in Leinefelde — Einfamilienhaus aus Abrissplatten). German-Architects.",https://www.german-architects.com/de/architecture-news/reviews/wohnungand-in-leinefelde
Kozminska 2019,"Kozminska, U., 2019. Circular design: reused materials and the future reuse of building elements in architecture. Process, challenges and case studies. IOP Conf. Ser. Earth Environ. Sci. 225, 012033.",https://doi.org/10.1088/1755-1315/225/1/012033
Kristinsson et al. 2001,"Kristinsson, J., Hendriks, C.F., Kowalczyk, T., Dorsthorst, B., 2001. Reuse of secondary elements: utopia or reality. In: CIB World Building Congress 2001.",
Künzel 2005,"Künzel, E., 2005. Where to go with the ""panel""? Past, present and future of buildings constructed of prefabricated concrete panels in eastern Germany (original title in German: Wohin mit der ""Platte""? Vergangenheit, Gegenwart und Zukunft der Plattenbausubstanz im Osten Deutschlands). Beton- Stahlbetonbau 100, 294–304.",
Küpfer et al. 2022,"Küpfer, C., Bastien-Masse, M., Devènes, J., Fivet, C., 2022. Environmental and economic analysis of new construction techniques reusing existing concrete elements: two case studies. IOP Conf. Ser. Earth Environ. Sci. 1078, 012013. https://doi.org/10.1088/1755-1315/1078/1/012013",https://doi.org/10.1088/1755-1315/1078/1/012013
Mettke 1995,"Mettke, A., 1995. Reuse of construction elements of precast buildings (original title in German: Wiederverwendung von Bauelementen des Fertigteilbaus). Blottner.",
Mettke 2008,"Mettke, A., 2008. New buildings from old panels (original title in German: Neue Gebäude aus alten Platten). Info-Veranstaltung SBB „Gut erhalten – Die Nutzung gebrauchter Bauteile bei Neubau und Sanierung “. Potsdam.",
Mettke 2010,"Mettke, A., 2010. Material and product recycling – by the example of buildings constructed of prefabricated concrete panels - Summary of 66 own publications (original title in German: Material- und Produktrecycling – am Beispiel von Plattenbauten - Zusammenfassende Arbeit von 66 eigenen Veröffentlichungen) (Post-doctoral thesis). BTU Cottbus.",
Mettke 2017,"Mettke, A., 2017. Recycled mineral construction materials - Contribution to the protection of the environment and to sustainable construction - Technical applicability, legal basis, working guidelines / regulations (original title in German: Mineralische Recyclingbaustoffe Beitrag zum Umweltschutz und nachhaltigen Bauen, Technische Verwendbarkeiten, rechtliche Grundlagen, Arbeitshilfen / Regelwerke). Nachhaltiges Planen und Bauen. Potsdam.",
Meyer 2018,"Meyer, F., 2018. Gentle Brutalism - Students build an art pavilion in Lausanne (original title in German: Gentle Brutalism - Studierende bauen Kunstpavillon in Lausanne). BauNetz.",https://www.baunetz.de/meldungen/Meldungen-Studierende_bauen_Kunstpavillon_in_Lausanne_5476960.html.
Mühlestein 1987,"Mühlestein, E., 1987. On-site renewal in Gothenburg, examples of the Swedish development (original title in German: Vorortserneuerung in Göteborg, Beispiele der schwedischen Entwicklung). In: Rückbau und Wiedergutmachung: Was tun mit dem gebauten Kram?. Birkhäuser.",
Naber 2012,"Naber, N.R., 2012. Reuse of hollow core slabs from office buildings to residential buildings (Master thesis). TU Delft.",
Nagora 2002,"Nagora, A., 2002. Dismantling of buildings constructed of prefabricated concrete panels under consideration of the reuse (reassembly) of selected prefabricated parts from the point of view of construction management and construction economics, illustrated by the example of the P2 building series (original title in German: Demontage von Plattenbauten unter Berücksichtigung der Wiederverwendung (Remontage) ausgewählter Fertigteile aus baubetrieblicher und bauwirtschaftlicher Sicht, dargestellt am Beispiel der Plattenbauserie P2) (Doctoral thesis). BTU Cottbus.",
Nationale Stadtentwicklungspolitik 2017,"Nationale Stadtentwicklungspolitik, 2017. Urban mansions of Cottbus-Sachsendorf-Madlow (original title in German: Cottbus-Sachsendorf-Madlow „Stadtvillen“).",https://www.nationale-stadtentwicklungspolitik.de/NSP/SharedDocs/Projekte/WSProjekte_DE/Cottbus_Sachsendorf_Madlow_Stadtvillen.html
Polony 2008,"Polony, J., 2008. The facade of the Gröditzer clubhouse will be built out of bricks (original title in German: Fassade vom Gröditzer Vereinshaus wird gemauert). Sächsische DE.",https://www.saechsische.de/plus/fassade-vom-groeditzer-vereinshaus-wird-gemauert-1921018.html.
Ritzen et al. 2019,"Ritzen, M., Oorschot, J. van, Cammans, M., Segers, M., Wieland, T., Scheer, P., Creugers, B., Abujidi, N., 2019. Circular (de)construction in the Superlocal project. In: IOP Conference Series: Earth and Environmental Science. Buildings as Material Banks - A Pathway For A Circular Future, 012048.",https://doi.org/10.1088/1755-1315/225/1/012048
Roth and Eklund 2000,"Roth, L., Eklund, M., 2000. Environmental analysis of reuse of cast-in-situ concrete in the building sector. In: Towards Sustainability in the Built Environment. Shaping the Sustainable Millennium - Collaborative Approaches, 234–243.",
Roth 2005,"Roth, L., 2005. Reuse of construction materials : Environmental performance and assessment methodology (Doctoral thesis). Linköping University.",
Salama 2017,"Salama, W., 2017. Design of concrete buildings for disassembly: An explorative review. Int. J. Sustain. Built Environ. 6, 617–635.",https://doi.org/10.1016/j.ijsbe.2017.03.005
Superlocal 2018,"Superlocal, 2018. Exhibition building (original title in Dutch: Expogebouw). SUPERLOCAL. ",https://www.superlocal.eu/superlocal/expogebouw/
Superlocal 2019,"Superlocal, 2019. Circular Housing (original title in Dutch: Circulaire woningen). SUPERLOCAL.",https://www.superlocal.eu/circulaire-woningen/
Superlocal 2020,"Superlocal, 2020. Update of the construction of three circular pilot homes (original title in Dutch: Update bouw drie circulaire proefwoningen). SUPERLOCAL. ",https://www.superlocal.eu/update-bouw-drie-circulaire-proefwoningen/
te Dorsthorst et al. 2000,"te Dorsthorst, B., Kowalczyk, T., Van Dijk, K., Boedianto, P., 2000. State of the art Deconstruction in the Netherlands. In: Overview of Deconstruction in Selected Countries, CIB, 95–143.",
Vogdt et al. 2016,"Vogdt, F.U., Huber, R.K., Asam, C., 2016. The research project „Plattenvereinigung“ (original title in German: Das Forschungsprojekt “Plattenvereinigung”). In: Wertschätzung – Kommunikation – Kooperation: Perspektiven von Professionalität in Lehrkräftebildung, Berufsbildung und Erwerbsarbeit, Festschrift zum 60. Geburtstag von Prof. Dr. Johannes Meyser. Universitätsverlag der TU Berlin.",https://doi.org/10.14279/depositonce-5664
WBK21 2005,"WBK21, 2005. “Pieper House” - construction of a new single-family house, partly from used prefabricated reinforced concrete elements, in Werneuchen (near Berlin) (original title in German: “Haus Pieper”—Neubau eines Einfamilienhauses anteilig aus gebrauchten Stahlbetonfertigteilen, Werneuchen (bei Berlin)).",http://www.wbk21.de/architektur/mwm_pieper.htm
zukunftsgeraeusche 2010,"zukunftsgeraeusche, 2010. Transplantation of the urban building stock (original title in German: Bestandsverpflanzung).",http://www.bestandsverpflanzung.de/
